morpheme,grammar,unicode,pinyin,tone,eng_sig,score
科技,名词,kējì,"['ke', 'ji']","[1, 4]","['science and technology', 'technology', 'tech']","[0.0, 1.0]"
雨林,名词,yǔlín,"['yu', 'lin']","[3, 2]",['rainforest'],[0.0]
探险,动词,tànxiǎn,"['tan', 'xian']","[4, 3]","['to explore', 'explore', 'adventure']",[0.0]
美妙,形容词,měimiào,"['mei', 'miao']","[3, 4]","['beautiful', 'splendid', 'wonderful', 'fabulous']",[0.0]
企鹅,名词,qíè,"['qi', 'e']","[2, 4]","['penguin', 'penguins']",[0.0]
探索,动词,tànsuǒ,"['tan', 'suo']","[4, 3]","['to probe', 'probe', 'to explore', 'explore']",[0.0]
关心,动词,guānxīn,"['guan', 'xin']","[1, 1]","['concerned about', 'to care', 'care', 'care for', 'concerned']","[0.0, 1.0]"
照顾,动词,zhàogu,"['zhao', 'gu']","[4, 5]","['give consideration to', 'to look after', 'look after', 'care for', 'take care of', 'attend to']",[0.0]
品种,名词,pǐnzhǒng,"['pin', 'zhong']","[3, 3]","['breed', 'strain', 'variety', 'assortment']",[0.0]
种类,名词,zhǒnglèi,"['zhong', 'lei']","[3, 4]","['kind', 'type', 'variety', 'genus', 'species']",[0.0]
接近,动词,jiējìn,"['jie', 'jin']","[1, 4]","['close to', 'near', 'to approach', 'to get close to']","[0.0, 1.0, 0.0]"
西瓜,名词,xīguā,"['xi', 'gua']","[1, 1]",['watermelon'],"[0.0, 1.0]"
皮肤,名词,pífū,"['pi', 'fu']","[2, 1]",['skin'],"[0.0, 1.0]"
皮肤,形容词,pífū,"['pi', 'fu']","[2, 1]","['superficial', 'surface', 'surface level']",[0.0]
研究,动词,yánjīu,"['yan', 'jiu']","[2, 1]","['study', 'to study', 'research', 'to research']","[0.0, 0.0]"
另外,副词,lìngwài,"['ling', 'wai']","[4, 4]","['in addition', 'besides', 'in place of']",[0.0]
另外,连词,lìngwài,"['ling', 'wai']","[4, 4]","['in addition', 'besides', 'additionally']","[0.0, 0.0]"
另外,代词,lìngwài,"['ling', 'wai']","[4, 4]","['different', 'other']",[0.0]
孔庙,名词,kǒngmiào,"['kong', 'miao']","[3, 4]",['confucian temple'],[0.0]
尽量,副词,jǐnliàng,"['jin', 'liang']","[3, 4]","['as much as possible', 'as far as possible', 'to the best of ones ability', 'to the greatest extent']",[0.0]
恐怕,动词,kǒngpà,"['kong', 'pa']","[3, 4]","['to fear', 'fear', 'to dread', 'be afraid of']",[0.0]
恐怕,副词,kǒngpà,"['kong', 'pa']","[3, 4]","['for fear of', 'perhaps', 'maybe', 'probably']","[0.0, 0.0]"
稳定,形容词,wěndìng,"['wen', 'ding']","[3, 4]","['stable', 'steady', 'consistent']",[0.0]
稳定,动词,wěndìng,"['wen', 'ding']","[3, 4]","['to stabilize', 'stabilize', 'steady', 'to pacify']",[0.0]
重视,动词,zhòngshì,"['zhong', 'shi']","[4, 4]","['to value', 'value', 'to attach importance to', 'pay attention to', 'take seriously']",[0.0]
大概,形容词,dàgài,"['da', 'gai']","[4, 4]","['general', 'rough', 'approximate', 'about']",[0.0]
大概,副词,dàgài,"['da', 'gai']","[4, 4]","['generally', 'briefly', 'probably', 'most likely']",[0.0]
大概,名词,dàgài,"['da', 'gai']","[4, 4]","['general idea', 'broad outline', 'broud idea', 'general outline']",[0.0]
利润,名词,lìrùn,"['li', 'run']","[4, 4]","['profit', 'profits']",[0.0]
对待,动词,duìdài,"['dui', 'dai']","[4, 4]","['treat', 'to treat', 'to approach', 'approach', 'to handle', 'handle', 'treatment']","[0.0, 1.0, 1.0]"
友善,形容词,yǒushàn,"['you', 'shan']","[3, 4]","['friendly', 'amicable', 'warm']","[0.0, 0.0]"
联系,名词,liánxì,"['lian', 'xi']","[2, 4]","['contact', 'touch', 'connection', 'relations', 'contacts']",[0.0]
联系,动词,liánxì,"['lian', 'xi']","[2, 4]","['arrange', 'get in touch with', 'to arrange', 'to integrate']","[0.0, 0.0]"
愉快,形容词,yúkuài,"['yu', 'kuai']","[2, 4]","['happy', 'joyful', 'cheerful', 'pleasant', 'cheery']",[0.0]
顺利,形容词,shùnlì,"['shun', 'li']","[4, 4]","['smooth', 'smoothly', 'sucsessful']",[0.0]
制作,动词,zhìzuò,"['zhi', 'zuo']","[4, 4]","['to make', 'to manufacture', 'make', 'manufacture', 'produce']",[0.0]
头帕,名词,tóupà,"['tou', 'pa']","[2, 4]","['scarf', 'kercheif', 'headscarf']",[0.0]
木头,名词,mùtou,"['mu', 'tou']","[4, 5]","['wood', 'log', 'timber', 'wooden', 'blockhead']",[0.0]
木头木脑,成语,mùtóumùnǎo,"['mu', 'tou', 'mu', 'nao']","[4, 2, 4, 3]","['blockhead', 'wooden headed', 'slow', 'dumb', 'dull witted']",[0.0]
永远,副词,yǒngyuǎn,"['yong', 'yuan']","[3, 3]","['always', 'forever', 'ever']",[0.0]
发生,动词,fāshēng,"['fa', 'sheng']","[1, 1]","['to happen', 'happen', 'to occur', 'take place', 'occur']","[0.0, 1.0]"
土豆,名词,tǔdòu,"['tu', 'dou']","[3, 4]","['potato', 'white potato', 'peanut']",[0.0]
丝绸,名词,sīchóu,"['si', 'chou']","[1, 2]","['silk', 'silk cloth']",[0.0]
指南针,名词,zhǐnánzhēn,"['zhi', 'nan', 'zhen']","[3, 2, 1]",['compass'],"[0.0, 1.0]"
火药,名词,huǒyào,"['huo', 'yao']","[3, 4]","['gunpowder', 'gun powder']","[0.0, 1.0]"
造纸,动词,zàozhǐ,"['zao', 'zhi']","[4, 3]","['papermaking', 'paper making']","[0.0, 1.0]"
常态,名词,chángtài,"['chang', 'tai']","[2, 4]","['normal state', 'normality', 'normal behaviour', 'normal']","[0.0, 1.0]"
一马当先,成语,yīmǎdāngxiān,"['yi', 'ma', 'dang', 'xian']","[1, 3, 1, 1]","['gallop ahead', 'take the lead', 'forefront']",[0.0]
针对,动词,zhēnduì,"['zhen', 'dui']","[1, 4]","['direct against', 'aim', 'countertargetfocus on']","[0.0, 1.0]"
针对,介词,zhēnduì,"['zhen', 'dui']","[1, 4]","['in light of', 'in accordance', 'connected with']",[0.0]
随机,副词,suíjī,"['sui', 'ji']","[2, 1]","['according to circumstance', 'according to situation', 'pragmatic']",[0.0]
随机,形容词,suíjī,"['sui', 'ji']","[2, 1]","['random', 'stochastic', 'pragmatic']",[0.0]
调查,动词,diàochá,"['diao', 'cha']","[4, 2]","['investigate', 'inquire', 'look into', 'survey', 'inquiry']",[0.0]
显示,动词,xiǎnshì,"['xian', 'shi']","[3, 4]","['show', 'display', 'demonstrate', 'manifest']","[0.0, 0.0]"
显示,名词,xiǎnshì,"['xian', 'shi']","[3, 4]","['show', 'indication', 'demonstration']",[0.0]
地球村,短语,dìqíucūn,"['di', 'qiu', 'cun']","[4, 2, 1]",['global village'],[0.0]
时尚,名词,shíshàng,"['shi', 'shang']","[2, 4]","['fashion', 'fad']","[0.0, 1.0]"
时尚,形容词,shíshàng,"['shi', 'shang']","[2, 4]","['fashionable', 'trendy']",[0.0]
并非,副词,bìngfēi,"['bing', 'fei']","[4, 1]","['really isnt', 'isnt really', 'but not']","[0.0, 1.0]"
打造,动词,dǎzào,"['da', 'zao']","[3, 4]","['create', 'build', 'develop', 'forge']",[0.0]
名片,名词,míngpiàn,"['ming', 'pian']","[2, 4]","['business card', 'name card', 'card']","[0.0, 1.0]"
单线,名词,dānxiàn,"['dan', 'xian']","[1, 4]","['single line', 'one way', 'single track']",[0.0]
徐徐,副词,xúxú,"['xu', 'xu']","[2, 2]","['slowly', 'gently']","[0.0, 1.0]"
蓝图,名词,lántú,"['lan', 'tu']","[2, 2]",['blueprint'],"[0.0, 0.0]"
轨道,名词,guǐdào,"['gui', 'dao']","[3, 4]","['orbit', 'trajectory', 'track', 'proper course']",[0.0]
展开,动词,zhǎnkāi,"['zhan', 'kai']","[3, 1]","['carry out', 'unfold', 'in full swing', 'in full swing', 'launch', 'open up']","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
首选,动词,shǒuxuǎn,"['shou', 'xuan']","[3, 3]","['to chose one', 'prefer']","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
首选,名词,shǒuxuǎn,"['shou', 'xuan']","[3, 3]","['first choice', 'preference', 'premium']",[0.0]
促进,动词,cùjìn,"['cu', 'jin']","[4, 4]","['promote', 'advance', 'accelerate', 'boost', 'enhance']","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
截至,动词,jiézhì,"['jie', 'zhi']","[2, 4]","['up to', 'by a time', 'by', 'so far']","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
累计,动词,lěijì,"['lei', 'ji']","[3, 4]","['in total', 'add up', 'accumulated', 'total']","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
运行,动词,yùnxíng,"['yun', 'xing']","[4, 2]","['move', 'be in motion', 'operate', 'function', 'run computer']","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
里程,名词,lǐchéng,"['li', 'cheng']","[3, 2]","['mileage', 'course']",[0.0]难受,形容词,nánshòu,"['nan', 'shou']","[2, 4]","['feel unwell', 'feel uneasy', 'sorry', 'unhappy', 'in pain']",[0.0]
